2022-02-07 21:20:31.414 [Thread-91] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@78de583a
2022-02-07 21:20:31.414 [Thread-33] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@888e109
2022-02-07 21:20:31.414 [Thread-77] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@f2df4da
2022-02-07 21:20:31.414 [Thread-78] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@38f4d9d2
2022-02-07 21:20:31.414 [Thread-98] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@67d1f235
2022-02-07 21:20:31.414 [Thread-29] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@360ff50
2022-02-07 21:20:31.414 [Thread-60] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@17d1dba3
2022-02-07 21:20:31.414 [Thread-65] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@702bf42e
2022-02-07 21:20:31.414 [Thread-8] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@7d983258
2022-02-07 21:20:31.414 [Thread-84] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@399e9add
2022-02-07 21:20:31.414 [Thread-56] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@4a12ce09
2022-02-07 21:20:31.414 [Thread-27] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@182dc4fd
2022-02-07 21:20:31.414 [Thread-26] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@10a9301
2022-02-07 21:20:31.414 [Thread-23] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@f13cc89
2022-02-07 21:20:31.414 [Thread-64] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@1137d2eb
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@2cbe0cce
2022-02-07 21:20:31.414 [Thread-30] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@313af97e
2022-02-07 21:20:31.414 [Thread-25] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@7ee7cce3
2022-02-07 21:20:31.414 [Thread-32] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@1c03f011
2022-02-07 21:20:31.414 [Thread-69] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@79db4e98
2022-02-07 21:20:31.414 [Thread-59] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@1bcb8020
2022-02-07 21:20:31.414 [Thread-7] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@2dbd3bc0
2022-02-07 21:20:31.414 [Thread-58] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@704441cf
2022-02-07 21:20:31.414 [Thread-76] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@4ab4a933
2022-02-07 21:20:31.414 [Thread-74] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@3531af65
2022-02-07 21:20:31.414 [Thread-94] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@75b7cb8
2022-02-07 21:20:31.414 [Thread-87] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@34efdef1
